"Name","Unknown"
"Afghanistan","Kabul"
"Albania","Tirane"
"Algeria","Algiers"
"American Samoa","Pago Pago"
"Andorra","Andorra la Vella"
"Angola","Luanda"
"Antigua and Barbuda","Saint John's"
"Argentina","Buenos Aires"
"Armenia","Yerevan"
"Aruba","Oranjestad"
"Australia","Canberra"
"Austria","Vienna"
"Azerbaijan","Baku"
"Bahamas","Nassau"
"Bahrain","Manama"
"Bangladesh","Dhaka"
"Barbados","Bridgetown"
"Belarus","Minsk"
"Belgium","Brussels"
"Belize","Belmopan"
"Benin","Porto-Novo"
"Bhutan","Thimphu"
"Bolivia","Sucre"
"Bosnia and Herzegovina","Sarajevo"
"Botswana","Gaborone"
"Brazil","Bras?lia"
"British Virgin Islands","The remote server returned an error: (404) Not Found."
"Brunei Darussalam","Bandar Seri Begawan"
"Bulgaria","Sofia"
"Burkina Faso","Ouagadougou"
"Burundi","Bujumbura"
"Cambodia","Phnom Penh"
"Cameroon","Yaound?"
"Canada","Ottawa"
"Cape Verde","The remote server returned an error: (404) Not Found."
"Cayman Islands","George Town"
"Central African Republic","Bangui"
"Chad","N'Djamena"
"Chile","Santiago"
"China","System.Object[]"
"Colombia","Bogot?"
"Comros","The remote server returned an error: (404) Not Found."
"Congo","System.Object[]"
"Costa Rica","San Jos?"
"Cote d'Ivoire","Yamoussoukro"
"Croatia","Zagreb"
"Cuba","Havana"
"Cyprus","Nicosia"
"Czech Republic","Prague"
"Democratic People's Republic of","Pyongyang"
"Democratic Republic of the Congo","The remote server returned an error: (404) Not Found."
"Denmark","Copenhagen"
"Djibouti","Djibouti"
"Dominica","System.Object[]"
"Dominica Republic","The remote server returned an error: (404) Not Found."
"East Timor","Dili"
"Ecuador","Quito"
"Egypt","Cairo"
"El Salvador","San Salvador"
"Equatorial Guinea","Malabo"
"Eritrea","Asmara"
"Estonia","Tallinn"
"Ethiopia","Addis Ababa"
"Falkland Islands (Malvinas)","Stanley"
"Faroe Islands","T?rshavn"
"Fiji","Suva"
"Finland","Helsinki"
"France","Paris"
"French Guiana","Cayenne"
"French Polynesia","Papeet?"
"Gabon","Libreville"
"Gambia","Banjul"
"Georgia","System.Object[]"
"Germany","Berlin"
"Ghana","Accra"
"Greece","Athens"
"Greenland","Nuuk"
"Guadeloupe","Basse-Terre"
"Guatemala","Guatemala City"
"Guernsey","St. Peter Port"
"Guinea","System.Object[]"
"Guinea-Bissau","Bissau"
"Guyana","Georgetown"
"Haiti","Port-au-Prince"
"Heard Island and McDonald Islands",""
"Honduras","Tegucigalpa"
"Hungary","Budapest"
"Iceland","Reykjav?k"
"India","System.Object[]"
"Indonesia","Jakarta"
"Iran (Islamic Republic of)","Tehran"
"Iraq","Baghdad"
"Ireland","System.Object[]"
"Israel","Jerusalem"
"Italy","Rome"
"Jamaica","Kingston"
"Jordan","Amman"
"Kazakhstan","Astana"
"Kenya","Nairobi"
"Kiribati","South Tarawa"
"Kuwait","Kuwait City"
"Kyrgyzstan","Bishkek"
"Lao People's Democratic Republic","Vientiane"
"Latvia","Riga"
"Lebanon","Beirut"
"Lesotho","Maseru"
"Liberia","Monrovia"
"Libyan Arab Jamahiriya","The remote server returned an error: (404) Not Found."
"Liechtenstein","Vaduz"
"Lithuania","Vilnius"
"Luxembourg","Luxembourg"
"Macao, China","The remote server returned an error: (404) Not Found."
"Madagascar","Antananarivo"
"Malawi","Lilongwe"
"Malaysia","Kuala Lumpur"
"Maldives","Mal?"
"Mali","System.Object[]"
"Malta","Valletta"
"Martinique","Fort-de-France"
"Mauritania","Nouakchott"
"Mayotte","Mamoudzou"
"Mexico","Mexico City"
"Micronesia (Federated States of)","Palikir"
"Moldova, Republic of","The remote server returned an error: (404) Not Found."
"Mozambique","Maputo"
"Myanmar","Naypyidaw"
"Namibia","Windhoek"
"Nepal","Kathmandu"
"Netherlands","Amsterdam"
"Netherlands Antilles","The remote server returned an error: (404) Not Found."
"New Caledonia","Noum?a"
"New Zealand","Wellington"
"Nicaragua","Managua"
"Niger","System.Object[]"
"Nigeria","Abuja"
"Norfolk Island","Kingston"
"Northern Mariana Islands","Saipan"
"Norway","Oslo"
"Oman","System.Object[]"
"Pakistan","Islamabad"
"Palau","Ngerulmud"
"Panama","Panama City"
"Papua New Guinea","Port Moresby"
"Paraguay","Asunci?n"
"Peru","Lima"
"Philippines","Manila"
"Poland","Warsaw"
"Portugal","Lisbon"
"Puerto Rico","San Juan"
"Qatar","Doha"
"Republic of Korea","System.Object[]"
"Romania","Bucharest"
"Russian Federation","Moscow"
"Rawanda","The remote server returned an error: (404) Not Found."
"Saint Kitts and Nevis","Basseterre"
"Saint Lucia","Castries"
"Saint Pierre and Miquelon","Saint-Pierre"
"Saint vincent and the Grenadines","Kingstown"
"Samoa","System.Object[]"
"San Marino","City of San Marino"
"Sao Tome and Principe","S?o Tom?"
"Saudi Arabia","Riyadh"
"Senegal","Dakar"
"Sierra Leone","Freetown"
"Slovakia","Bratislava"
"Slovenia","Ljubljana"
"Solomon Islands","Honiara"
"Somalia","Mogadishu"
"South Africa","Pretoria"
"Spain","Madrid"
"Sudan","System.Object[]"
"Suriname","Paramaribo"
"Swaziland","Lobamba"
"Sweden","Stockholm"
"Switzerland","Bern"
"Syrian Arab Republic","Damascus"
"Tajikistan","Dushanbe"
"Thailand","Bangkok"
"The Former Yugoslav Republic of Macedonia","The remote server returned an error: (404) Not Found."
"Togo","Lom?"
"Tonga","Nuku'alofa"
"Tunisia","Tunis"
"Turkey","Ankara"
"Turkmenistan","Ashgabat"
"Tuvalu","Funafuti"
"Uganda","Kampala"
"Ukraine","Kiev"
"United Arab Emirates","Abu Dhabi"
"United Kingdom of Great Britain and Northern Ireland","London"
"United Republic of Tanzania","Dodoma"
"United States of America","Washington, D.C."
"United States of Virgin Islands","The remote server returned an error: (404) Not Found."
"Uruguay","Montevideo"
"Uzbekistan","Tashkent"
"Vanuatu","Port Vila"
"Venezuela","Caracas"
"Viet Nam","Hanoi"
"Yugoslavia","The remote server returned an error: (404) Not Found."
"Zambia","Lusaka"
"Zimbabwe","Harare"
